Description,Supplier,URL,Entity,Expense Type,Transaction Number,Amount,Expense Area,Date,Departmental Family
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Accommodation and Utilities,3000017795,"51,162.24",ESTATE MANAGEMENT,01/07/2011,Cabinet Office
Investment in the risk capital fund for social enterprise,BRIDGES VENTURES LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Investments,3000017793,"36,955.15",OFFICE FOR CIVIL SOCIETY,01/07/2011,Cabinet Office
Final endowment grant within the Grassroots Grants programme,COMMUNITY DEVELOPMENT FOUNDATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Capital grants to Private Sector,1000407,"1,688,641.93",OFFICE FOR CIVIL SOCIETY,01/07/2011,Cabinet Office
Grant payment for the Transition Fund ,BIG FUND TRANSITION FUND,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,CABINET OFFICE,Resource Grants to Private Sector,3000017792,"25,000,000.00",OFFICE FOR CIVIL SOCIETY,01/07/2011,Cabinet Office
TSOL - 2011/12 Fees and Disbursements.,TREASURY SOLICITOR TSOL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Supplies and Services,3000017831,"31,642.30",CENTRAL BUDGETS,04/07/2011,Cabinet Office
"Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",CAPITA RESOURCING LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Consultancy,3000017819,"49,874.99",GOVERNMENT CIO,04/07/2011,Cabinet Office
Central Chancery charges for administration of Honours,TREASURER TO THE QUEEN,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Resource Grants to NDPB's,3000017830,"68,230.00",HONOURS AND APPOINTMENTS,04/07/2011,Cabinet Office
Final payment for the delivery of the 2010-11 Access to Volunteering Fund,DIGITAL PUBLIC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,GRANT FUND MANAGEMENT SERVICES,3000017821,"30,888.00",OFFICE FOR CIVIL SOCIETY,04/07/2011,Cabinet Office
Web monitoring services,STERIA LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,IT Costs,3000017862,"45,549.39",GOVERNMENT DIGITAL SERVICE,06/07/2011,Cabinet Office
Telephony charges.,BUYING SOLUTIONS 3986,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Accommodation and Utilities,103245,"213,931.54",IT AND TELECOMS BRANCH,06/07/2011,Cabinet Office
Fast-stream recruitment,PARITY SOLUTIONS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Other Staff Related Costs,3000017892,"46,891.70",ERG STRATEGY AND MANAGEMENT INFORMATION,07/07/2011,Cabinet Office
Core Flex Monthly Service Charge,FUJITSU SERVICES,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Hire of Plant and Machines Memorandum Accounts,3000017886,"814,947.77",IT AND TELECOMS BRANCH,07/07/2011,Cabinet Office
Telecomms line rentals,BT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Accommodation and Utilities,3000017883,"80,857.84",PRIME MINISTERS OFFICE,07/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20228,"178,995.82",Network Services,07/07/2011,Cabinet Office
Provision of office space for new Groups joining the Department,MINISTRY OF JUSTICE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Land and Buildings,3000017945,"889,333.00",ESTATE MANAGEMENT,08/07/2011,Cabinet Office
Accommodation works to 70 Whitehall,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,IT Costs,3000017926,"29,338.95",INTELLIGENCE SECURITY AND RESILIENCE,08/07/2011,Cabinet Office
Services relating to an e-marketplace procured under an existing framework contract,PROCSERVE SHARED SERVICES LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,IT Costs,3000017978,"168,100.00",ERG STRATEGY AND MANAGEMENT INFORMATION,11/07/2011,Cabinet Office
Reprographic services from 01/05/2011 to 31/03/12 inc click charges,RICOH UK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Supplies and Services,3000017980,"36,696.32",ESTATE MANAGEMENT,11/07/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Accommodation and Utilities,3000017972,"935,484.24",ESTATE MANAGEMENT,11/07/2011,Cabinet Office
Reprographic services from 01/05/2011 to 31/03/12 inc click charges,RICOH UK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Supplies and Services,3000018002,"39,573.76",ESTATE MANAGEMENT,12/07/2011,Cabinet Office
"Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",CAPITA RESOURCING LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Consultancy,3000017991,"41,700.18",GOVERNMENT CIO,12/07/2011,Cabinet Office
"Various desktop devices, network hardware and specialist software. Framework: Sprint2",SPECIALIST COMPUTER CENTRES PLC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,IT Software,3000018037,"64,267.98",GOVERNMENT DIGITAL SERVICE,13/07/2011,Cabinet Office
Payment of balance of a termination fee to end support and maintenance of our TV & Mobile services,ALCATEL LUCENT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,IT Costs,3000018018,"80,587.02",GOVERNMENT DIGITAL SERVICE,13/07/2011,Cabinet Office
National Citizen Service project grant,V,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Resource Grants to Private Sector,3000018044,"1,123,125.00",OFFICE FOR CIVIL SOCIETY,13/07/2011,Cabinet Office
Cost for 6 contractors under the Cipher Capita framework.,CAPITA RESOURCING LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Agency and Temporary Staff,3000018057,"83,851.50",GOVERNMENT DIGITAL SERVICE,14/07/2011,Cabinet Office
High Integrity Telecomms System project costs,MINISTRY OF DEFENCE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Accommodation and Utilities,3000018073,"202,418.92",INTELLIGENCE SECURITY AND RESILIENCE,14/07/2011,Cabinet Office
Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,LORD LIEUTENANT OF WEST YORKSHIRE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,"Travel, Subsistence and Hospitality",3000018071,"28,582.50",POLITICAL AND CONSTITUTIONAL REFORM,14/07/2011,Cabinet Office
Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,MERSEYSIDE LIEUTENANCY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,"Travel, Subsistence and Hospitality",3000018072,"30,246.00",POLITICAL AND CONSTITUTIONAL REFORM,14/07/2011,Cabinet Office
Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,GREATER MANCHESTER LIEUTENANCY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,"Travel, Subsistence and Hospitality",3000018066,"33,133.50",POLITICAL AND CONSTITUTIONAL REFORM,14/07/2011,Cabinet Office
Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,WEST MIDLANDS LIEUTENANCY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,"Travel, Subsistence and Hospitality",3000018080,"36,307.50",POLITICAL AND CONSTITUTIONAL REFORM,14/07/2011,Cabinet Office
Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,GREATER LONDON LIEUTENANCY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,"Travel, Subsistence and Hospitality",3000018065,"42,602.00",POLITICAL AND CONSTITUTIONAL REFORM,14/07/2011,Cabinet Office
Private Finance Initiative payment for student & office accommodation at Sunningdale site,De Vere Venues Ltd,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,National School of Government,De Vere PFI contract fee,64DEVE009102717806708/07/2011,"217,690.86",Corporate Services & Operation,14/07/2011,National School of Government
TSOL ERG Legal Cost.,TREASURY SOLICITOR TSOL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Supplies and Services,3000018113,"53,562.00",CENTRAL BUDGETS,15/07/2011,Cabinet Office
Facilities Management Services,MITIE MANAGED SERVICES LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Accommodation and Utilities,3000018105,"48,514.25",ESTATE MANAGEMENT,15/07/2011,Cabinet Office
Gathering and analysing information from across Main Government Departments and their Agencies to establish the promotion of the Civil Service Code across Whitehall and environs and to establish the number and nature of appreals made under the code.,DLA PIPER UK,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Consultancy,3000018146,"35,550.00",INDEPENDENT OFFICES,18/07/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Accommodation and Utilities,3000018149,"35,774.72",PRIME MINISTERS OFFICE,18/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Data Services,PINMTS 20229,"112,822.50",Network Services,18/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Call Charges Std,PINMTS 20246,"40,025.34",Network Services,18/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Data Services,PINMTS 20282,"53,685.00",Network Services,18/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Peripherals,PINMTS 20284,"30,532.75",Network Services,18/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Peripherals,PINMTS 20289,"27,332.75",Network Services,18/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Peripherals,PINMTS 20292,"32,173.00",Network Services,18/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Data Services,PINMTS 20293,"43,831.92",Network Services,18/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Data Services,PINMTS 20304,"77,009.66",Network Services,18/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,System Manm't,PINMTS 20308,"32,268.00",Network Services,18/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Moves & Changes,PINMTS 20319,"56,605.01",Network Services,18/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Data Services,PINMTS 20329,"255,700.09",Network Services,18/07/2011,Cabinet Office
2011/12 Treasury Solicitor Capitation costs.,TREASURY SOLICITOR TSOL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Supplies and Services,3000018183,"89,098.19",CENTRAL BUDGETS,19/07/2011,Cabinet Office
